----------------------------------------------------------------------------------------------------------------
|                                              DescribeDBInstances                                             |
+----------------------------------------+---------+-----------------------------------------+-----------------+
|  aws-luckyus-cdpactivity-rw            |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-datalink-84test-rw        |  8.4.7  |  default.mysql8.4                       |  in-sync        |
|  aws-luckyus-dba84test-rw              |  8.4.7  |  default.mysql8.4                       |  in-sync        |
|  aws-luckyus-dbatest-rw                |  8.0.42 |  luckyus-prod-80-new                    |  pending-reboot |
|  aws-luckyus-devops-rw                 |  8.0.40 |  luckyus-prod                           |  in-sync        |
|  aws-luckyus-fichargecontrol-rw        |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-fitax-rw                  |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-framework01-rw            |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-framework02-rw            |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-iadmin-rw                 |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-ibillingcentersrv-rw      |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-ibizconfigcenter-rw       |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-icyberdata-rw             |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-iehr-rw                   |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-ifiaccounting-rw          |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-igers-rw                  |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-ijumpserver-jumpserver-rw |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-ilsopdevopsdata-rw        |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-iluckyams-rw              |  8.0.44 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-iluckyauthapi-rw          |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-iluckydorisops-rw         |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-iluckyhealth-rw           |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-iluckymedia-rw            |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-iopenadmin-rw             |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-iopenlinker-rw            |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-iopenservice-rw           |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-iopocp-rw                 |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-iopshopexpand-rw          |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-iotplatform-rw            |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-ipermission-rw            |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-ireplenishment-rw         |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-iriskcontrolservice-rw    |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-isalescdp-rw              |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
|  aws-luckyus-isalesdatamarketing-rw    |  8.0.40 |  luckyus-prod-80-new                    |  in-sync        |
