metric,value,detail
分析月份,2026-03,"共10家门店, 19次巡检"
本月平均分,86.9,
上月平均分,88.1,变化: -1.2
最高分门店,98.0,Penn Station
最低分门店,73.0,28th & 6th
模块-食品加工区域,29,"影响9家门店, 扣分-30.0"
模块-证照与规范,24,"影响10家门店, 扣分-22.0"
模块-虫害防控,21,"影响8家门店, 扣分-21.0"
模块-储存管理,17,"影响10家门店, 扣分-18.0"
模块-水务与管道,15,"影响9家门店, 扣分-20.0"
模块-人员卫生,15,"影响6家门店, 扣分-22.0"
模块-环境与客区,15,"影响9家门店, 扣分-20.0"
模块-设备与工具,14,"影响8家门店, 扣分-25.0"
模块-清洁消毒,13,"影响7家门店, 扣分-14.0"
模块-有效期管理,9,"影响6家门店, 扣分-9.0"
模块-温控管理,8,"影响5家门店, 扣分-8.0"
模块-化学品管理,4,"影响3家门店, 扣分-4.0"
风险-S项,1,0.5%
风险-M项,6,3.3%
风险-G项,54,29.3%
风险-L项,75,40.8%
