Month,Store serial number,Store name,City,Module_CN,Severity_Code,Severity_CN,Label,Check items,Opportunity point description,Opportunity point value,Check date,checker
2026-02,US00001,Times Square,New York City,人员卫生,G,G项,Personal certificate,Check: Personal certificate compliance requirement,Temperature log not completed for refrigerator,-2,2026-02-08,Wang Fang
2026-02,US00003,Bryant Park,New York City,人员卫生,G,G项,Personal certificate,Check: Personal certificate compliance requirement,Employee health certificate expired,-2,2026-02-17,Wang Fang
2026-02,US00004,Wall Street,New York City,人员卫生,G,G项,Personal certificate,Check: Personal certificate compliance requirement,Equipment not properly maintained - ice machine leaking,-2,2026-02-07,Wang Fang
2026-02,US00005,Midtown East,New York City,人员卫生,G,G项,Personal Hygiene,Check: Personal Hygiene compliance requirement,Floor not clean under the sink area,-2,2026-02-27,Chen Yu
2026-02,US00003,Bryant Park,New York City,人员卫生,L,L项,Personal certificate,Check: Personal certificate compliance requirement,Floor not clean under the sink area,-1,2026-02-22,Li Ming
2026-02,US00003,Bryant Park,New York City,人员卫生,L,L项,Employees' Health,Check: Employees' Health compliance requirement,Temperature of freezer above acceptable range,-1,2026-02-17,Wang Fang
2026-02,US00003,Bryant Park,New York City,人员卫生,L,L项,Personal certificate,Check: Personal certificate compliance requirement,Light fixture damaged in food prep area,-1,2026-02-17,Wang Fang
2026-02,US00003,Bryant Park,New York City,人员卫生,L,L项,Personal certificate,Check: Personal certificate compliance requirement,Water filter replacement date overdue,-1,2026-02-17,Wang Fang
2026-02,US00009,Columbus Circle,New York City,人员卫生,L,L项,Employees' Health,Check: Employees' Health compliance requirement,Equipment not properly maintained - ice machine leaking,-1,2026-02-12,Zhang Wei
2026-02,US00001,Times Square,New York City,储存管理,G,G项,Material Storage Location Specification,Check: Material Storage Location Specification compliance requirement,Floor not clean under the sink area,-2,2026-02-08,Wang Fang
2026-02,US00005,Midtown East,New York City,储存管理,G,G项,Material Storage Location Specification,Check: Material Storage Location Specification compliance requirement,"Trash can lid broken, needs repair",-2,2026-02-27,Chen Yu
2026-02,US00008,JFK Terminal 1,New York City,储存管理,G,G项,Material Storage Location Specification,Check: Material Storage Location Specification compliance requirement,Pest trap not checked in the last 30 days,-2,2026-02-06,Chen Yu
2026-02,US00001,Times Square,New York City,储存管理,L,L项,Storage and Inventory Transfer of Food,Check: Storage and Inventory Transfer of Food compliance requirement,Cross contamination risk: raw and cooked food stored together,-1,2026-02-08,Wang Fang
2026-02,US00003,Bryant Park,New York City,储存管理,L,L项,Material Storage Location Specification,Check: Material Storage Location Specification compliance requirement,Temperature of freezer above acceptable range,-1,2026-02-22,Li Ming
