Severity_Code,Severity_CN,Module_CN,count,total_deduction,stores_affected
G,G项,食品加工区域,9,-18,6
G,G项,人员卫生,7,-14,5
G,G项,储存管理,7,-14,6
G,G项,设备与工具,7,-14,5
G,G项,证照与规范,5,-10,2
G,G项,清洁消毒,4,-8,3
G,G项,环境与客区,4,-8,4
G,G项,有效期管理,3,-6,3
G,G项,水务与管道,3,-6,3
G,G项,虫害防控,3,-6,2
G,G项,化学品管理,1,-2,1
G,G项,温控管理,1,-2,1
L,L项,证照与规范,12,-12,7
L,L项,虫害防控,10,-10,8
L,L项,水务与管道,9,-9,5
L,L项,环境与客区,7,-7,6
L,L项,食品加工区域,7,-7,5
L,L项,清洁消毒,6,-6,4
L,L项,温控管理,6,-6,5
L,L项,设备与工具,6,-6,4
L,L项,储存管理,4,-4,3
L,L项,人员卫生,3,-3,3
L,L项,有效期管理,3,-3,3
L,L项,化学品管理,2,-2,2
M,M项,人员卫生,1,-5,1
M,M项,水务与管道,1,-5,1
M,M项,环境与客区,1,-5,1
M,M项,虫害防控,1,-5,1
M,M项,设备与工具,1,-5,1
M,M项,食品加工区域,1,-5,1
