Month,Store serial number,Store name,City,Operational Management Area,Store level,Report score,Check date,Check category,checker
2026-02,US00001,Times Square,New York City,Area 1,Pickup,93,2026-02-08,Store food safety self-check,Wang Fang
2026-02,US00002,Herald Square,New York City,Area 1,Relax,78,2026-02-12,Store food safety audit,Zhang Wei
2026-02,US00003,Bryant Park,New York City,Area 1,Pickup,73,2026-02-17,Area food safety Check,Wang Fang
2026-02,US00003,Bryant Park,New York City,Area 1,Pickup,91,2026-02-22,Store food safety audit,Li Ming
2026-02,US00004,Wall Street,New York City,Area 2,Pickup,83,2026-02-04,Store food safety audit,Li Ming
2026-02,US00004,Wall Street,New York City,Area 2,Pickup,93,2026-02-07,Store food safety self-check,Wang Fang
2026-02,US00005,Midtown East,New York City,Area 2,Pickup,80,2026-02-01,Store food safety self-check,Chen Yu
2026-02,US00005,Midtown East,New York City,Area 2,Pickup,79,2026-02-27,Store food safety self-check,Chen Yu
2026-02,US00006,28th & 6th,New York City,Area 2,Relax,91,2026-02-12,Area food safety Check,Li Ming
2026-02,US00007,Penn Station,New York City,Area 3,Pickup,97,2026-02-08,Store food safety self-check,Zhang Wei
2026-02,US00008,JFK Terminal 1,New York City,Area 3,Pickup,78,2026-02-06,Area food safety Check,Chen Yu
2026-02,US00008,JFK Terminal 1,New York City,Area 3,Pickup,89,2026-02-18,Store food safety audit,Chen Yu
2026-02,US00009,Columbus Circle,New York City,Area 1,Relax,72,2026-02-12,Area food safety Check,Zhang Wei
2026-02,US00010,Union Square,New York City,Area 2,Pickup,92,2026-02-24,Store food safety audit,Zhang Wei
2026-02,US00010,Union Square,New York City,Area 2,Pickup,98,2026-02-27,Store food safety audit,Li Ming
2026-03,US00001,Times Square,New York City,Area 1,Pickup,-192,2026-03-20,US Store Food Safety Audit,External Auditor
2026-03,US00001,Times Square,New York City,Area 1,Pickup,96,2026-03-28,Store food safety self-check,Wang Fang
2026-03,US00002,Herald Square,New York City,Area 1,Relax,76,2026-03-25,Area food safety Check,Zhang Wei
2026-03,US00003,Bryant Park,New York City,Area 1,Pickup,71,2026-03-15,Area food safety Check,Chen Yu
2026-03,US00003,Bryant Park,New York City,Area 1,Pickup,94,2026-03-17,Store food safety self-check,Li Ming
2026-03,US00004,Wall Street,New York City,Area 2,Pickup,90,2026-03-14,Store food safety self-check,Zhang Wei
2026-03,US00004,Wall Street,New York City,Area 2,Pickup,87,2026-03-28,Area food safety Check,Chen Yu
2026-03,US00005,Midtown East,New York City,Area 2,Pickup,70,2026-03-15,Area food safety Check,Wang Fang
2026-03,US00005,Midtown East,New York City,Area 2,Pickup,76,2026-03-24,Store food safety audit,Wang Fang
2026-03,US00006,28th & 6th,New York City,Area 2,Relax,98,2026-03-11,Store food safety self-check,Li Ming
2026-03,US00006,28th & 6th,New York City,Area 2,Relax,73,2026-03-27,Area food safety Check,Chen Yu
2026-03,US00007,Penn Station,New York City,Area 3,Pickup,92,2026-03-01,Area food safety Check,Wang Fang
2026-03,US00007,Penn Station,New York City,Area 3,Pickup,98,2026-03-28,Store food safety self-check,Zhang Wei
2026-03,US00008,JFK Terminal 1,New York City,Area 3,Pickup,71,2026-03-17,Area food safety Check,Chen Yu
2026-03,US00008,JFK Terminal 1,New York City,Area 3,Pickup,90,2026-03-19,Area food safety Check,Chen Yu
2026-03,US00009,Columbus Circle,New York City,Area 1,Relax,82,2026-03-04,Store food safety self-check,Wang Fang
2026-03,US00009,Columbus Circle,New York City,Area 1,Relax,85,2026-03-05,Area food safety Check,Wang Fang
2026-03,US00010,Union Square,New York City,Area 2,Pickup,80,2026-03-12,Store food safety audit,Zhang Wei
2026-03,US00010,Union Square,New York City,Area 2,Pickup,94,2026-03-22,Store food safety self-check,Zhang Wei
