Store name,设备与工具,清洁消毒,温控管理,储存管理,食品加工区域,水务与管道,虫害防控,有效期管理,人员卫生,化学品管理,环境与客区,证照与规范,Total_Deduction
28th & 6th,-6,-2,-3,-2,-10,0,-1,-2,-12,0,-2,-3,-43
Bryant Park,-2,0,-1,-1,-3,-5,-6,-3,0,0,-1,-7,-29
Penn Station,-2,-3,0,-2,-3,-3,-7,-2,-2,0,-3,-1,-28
Union Square,-4,-2,-1,0,-2,-2,-1,0,-3,0,-5,-2,-22
JFK Terminal 1,-1,-1,0,-4,-6,-3,-3,0,0,-1,-1,-1,-21
Columbus Circle,-5,-2,0,-1,-5,-2,-1,-1,0,0,-2,-2,-21
Wall Street,-3,0,0,-4,0,-1,0,-1,-3,-2,-2,-4,-20
Midtown East,-2,0,-1,-2,-1,-2,-1,0,-2,0,-3,0,-14
Herald Square,0,-4,-2,-2,0,0,-1,0,0,0,0,-2,-11
Times Square,0,0,0,0,0,-2,0,0,0,-1,-1,0,-4
