Instance	Version	Class	RAM_GB	FreeMem_MB	Swap_MB	OOM_Risk	Status	ParamGroup	ParamSync	MultiAZ	PendingChanges
aws-luckyus-iluckyhealth-rw	8.0.40	db.t3.small	2	66	868	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-opshopsale-rw	8.0.40	db.t4g.micro	1	83	658	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-opproduction-rw	8.0.40	db.t4g.micro	1	90	594	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-opqualitycontrol-rw	8.0.40	db.t4g.micro	1	90	754	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-scm-ordering-rw	8.0.40	db.t4g.micro	1	90	771	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-iriskcontrolservice-rw	8.0.40	db.t4g.micro	1	94	1207	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-ijumpserver-jumpserver-rw	8.0.40	db.t4g.micro	1	96	627	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-iopocp-rw	8.0.40	db.t4g.micro	1	96	622	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-ipermission-rw	8.0.40	db.t4g.micro	1	96	591	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-ifiaccounting-rw	8.0.40	db.t4g.micro	1	99	871	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-opempefficiency-rw	8.0.40	db.t4g.micro	1	101	546	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-scm-purchase-rw	8.0.40	db.t4g.micro	1	101	799	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-scm-wds-rw	8.0.40	db.t4g.micro	1	102	720	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-ibillingcentersrv-rw	8.0.40	db.t4g.micro	1	104	670	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-scmsrm-rw	8.0.40	db.t4g.micro	1	104	733	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-fichargecontrol-rw	8.0.40	db.t4g.micro	1	105	559	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-iluckyams-rw	8.0.44	db.t4g.micro	1	106	389	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-scm-asset-rw	8.0.40	db.t4g.micro	1	108	594	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-iehr-rw	8.0.40	db.t4g.micro	1	109	554	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-pubdm-rw	8.0.40	db.t4g.micro	1	109	511	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-oplog-rw	8.0.40	db.t4g.micro	1	110	410	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-scm-wmssimulate-rw	8.0.40	db.t4g.micro	1	111	534	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-iluckyauthapi-rw	8.0.40	db.t4g.micro	1	112	408	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-iadmin-rw	8.0.40	db.t4g.micro	1	113	511	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-iopshopexpand-rw	8.0.40	db.t4g.micro	1	115	423	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-isalesmembermarketing-rw	8.0.40	db.t4g.micro	1	115	425	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-ibizconfigcenter-rw	8.0.40	db.t4g.micro	1	116	435	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-ilsopdevopsdata-rw	8.0.40	db.t4g.micro	1	116	375	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-scm-openapi-rw	8.0.40	db.t4g.micro	1	116	577	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-iopenlinker-rw	8.0.40	db.t4g.micro	1	117	493	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-igers-rw	8.0.40	db.t4g.micro	1	118	401	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-fitax-rw	8.0.40	db.t4g.micro	1	119	393	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-ireplenishment-rw	8.0.40	db.t4g.micro	1	119	647	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-scm-plan-rw	8.0.40	db.t4g.micro	1	119	472	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-iluckymedia-rw	8.0.40	db.t4g.micro	1	120	416	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-iopenservice-rw	8.0.40	db.t4g.micro	1	120	408	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-mfranchise-rw	8.0.40	db.t4g.micro	1	122	457	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-iopenadmin-rw	8.0.40	db.t4g.micro	1	123	419	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-iluckydorisops-rw	8.0.40	db.t4g.micro	1	124	405	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-iunifiedreconcile-rw	8.0.40	db.t4g.micro	1	126	426	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-dbatest-rw	8.0.45	db.t4g.micro	1	130	321	RED	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-dba84test-rw	8.4.7	db.t4g.micro	1	139	163	RED	available	luckyus-prod-84-lctn0	pending-reboot	true	none
aws-luckyus-datalink-84test-rw	8.4.7	db.t4g.micro	1	149	163	RED	available	luckyus-prod-84-lctn0	pending-reboot	true	none
aws-luckyus-upush-rw	8.0.40	db.t4g.medium	4	256	335	YELLOW	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-salesorder-rw	8.0.40	db.t4g.medium	4	421	218	GREEN	available	luckyus-prod-80-new-groupconcatmaxlen	in-sync	true	none
aws-luckyus-scm-shopstock-rw	8.0.40	db.t4g.medium	4	466	325	GREEN	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-cdpactivity-rw	8.0.40	db.t4g.medium	4	485	375	GREEN	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-iworkflowmidlayer-rw	8.0.40	db.t4g.medium	4	525	218	GREEN	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-ldas01-rw	8.0.41	db.t4g.large	8	649	219	GREEN	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-isalesprivatedomain-rw	8.0.40	db.t4g.medium	4	661	135	GREEN	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-isalesdatamarketing-rw	8.0.40	db.t4g.medium	4	666	490	GREEN	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-icyberdata-rw	8.0.40	db.t4g.medium	4	676	1423	GREEN	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-isalescdp-rw	8.0.40	db.t4g.medium	4	993	0	GREEN	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-framework02-rw	8.0.40	db.t4g.medium	4	997	88	GREEN	available	luckyus-prod-80-new	in-sync	true	none
aws-luckyus-ldas-rw	8.0.40	db.t4g.large	8	1065	327	GREEN	available	luckyus-prod	in-sync	true	none
